year,poverty_rate,state
1990,15.00,Minnesota
1990,13.30,Rhode Island
1990,22.40,West Virginia
1990,21.60,Texas
1990,15.90,Michigan
1990,11.40,New Hampshire
1990,13.80,Iowa
1990,17.80,North Carolina
1990,12.70,Delaware
1990,26.00,New Mexico
1990,27.30,Louisiana
1990,15.90,Indiana
1990,23.90,California
1990,27.30,Mississippi
1990,20.60,Montana
1990,13.40,Nebraska
1990,17.80,Colorado
1990,11.60,Wisconsin
1990,13.40,Maryland
1990,19.40,Georgia
1990,13.80,Vermont
1990,26.32,Arizona
1990,22.30,Kentucky
1990,14.70,Virginia
1990,19.80,Florida
1990,16.10,Alaska
1990,15.90,Massachusetts
1990,11.70,Washington
1990,18.70,Idaho
1990,14.50,Pennsylvania
1990,15.70,South Dakota
1990,17.10,Nevada
1990,15.10,North Dakota
1990,15.20,Utah
1990,19.30,South Carolina
1990,16.10,Oregon
1990,20.00,New York
1990,8.90,Connecticut
1990,22.70,Alabama
1990,18.30,Illinois
1990,14.10,Kansas
1991,14.00,Wyoming
1991,26.40,Mississippi
1991,13.30,Delaware
1991,16.20,Indiana
1991,22.30,Kentucky
1991,22.90,Arkansas
1991,15.00,Minnesota
1991,16.10,Colorado
1991,14.80,Utah
1991,14.90,Pennsylvania
1991,20.00,Montana
1991,21.40,Texas
1991,14.00,Maryland
1991,14.50,Alaska
1991,20.90,New York
1991,14.70,Ohio
1991,16.90,Nevada
1991,14.50,New Jersey
1991,12.40,Washington
1991,15.30,South Dakota
1991,20.30,Florida
1991,19.70,South Carolina
1991,19.90,Georgia
1991,17.90,North Carolina
1991,14.80,North Dakota
1991,22.40,West Virginia
1991,12.80,Nebraska
1991,16.40,Michigan
1991,21.80,Alabama
1991,25.20,California
1991,15.00,Virginia
1991,26.90,Louisiana
1991,18.20,Idaho
1991,18.00,Hawaii
1991,13.90,Rhode Island
1991,14.40,Vermont
1991,15.24,National
1991,17.60,Missouri
1991,24.70,New Mexico
1991,18.00,Maine
1991,16.70,Oregon
1991,18.50,Illinois
1991,13.80,Iowa
1991,12.20,New Hampshire
1991,20.90,Oklahoma
1991,14.60,Kansas
1991,20.10,Tennessee
1991,10.10,Connecticut
1991,26.50,Arizona
